"","SRR1039508","SRR1039509","SRR1039512","SRR1039513","SRR1039516","SRR1039517","SRR1039520","SRR1039521"
"ENSG00000138385.15",1602,2353,2026,1957,2557,6077,1417,2526
"ENSG00000138386.16",824,470,694,286,842,823,582,469
"ENSG00000138395.14",74,65,163,42,223,182,96,101
"ENSG00000138398.15",1186,1063,1582,878,1802,1813,1325,1159
"ENSG00000138399.17",173,148,191,90,265,328,122,124
"ENSG00000138400.12",40,12,35,15,27,18,27,15
"ENSG00000138411.10",17,14,43,18,56,75,68,57
"ENSG00000138413.13",1917,1571,1912,1017,1533,1767,1401,1502
"ENSG00000138430.15",1044,840,1238,660,1148,1242,874,814
"ENSG00000138433.15",712,568,1049,549,1119,979,744,719
"ENSG00000138434.16",3740,2714,3527,2169,4133,4267,3573,3425
"ENSG00000138435.15",6,1,6,0,4,8,0,1
"ENSG00000138439.11",173,86,203,125,191,174,151,153
"ENSG00000138442.9",438,428,428,243,547,576,379,333
"ENSG00000138443.15",1257,853,1689,818,1619,1795,1184,1029
"ENSG00000138448.11",4911,3985,6551,4038,6356,8972,5537,6643
"ENSG00000138449.10",4923,3012,7684,7658,7833,11589,6382,7681
"ENSG00000138459.8",843,871,1014,732,940,1363,665,905
"ENSG00000138463.8",332,267,342,275,447,548,288,411
"ENSG00000138468.15",378,192,551,187,472,307,367,260
"ENSG00000138483.2",1,6,1,10,0,16,1,8
"ENSG00000138495.6",123,125,171,111,167,178,124,146
"ENSG00000138496.16",1317,781,1254,557,1021,792,837,614
"ENSG00000138587.5",84,43,118,42,90,78,65,39
"ENSG00000138592.13",1464,1450,1773,1057,1894,2166,1396,1412
"ENSG00000138593.8",1904,1662,2270,1319,2777,3421,1672,1895
"ENSG00000138594.13",1711,1419,1847,1052,1935,2560,1531,1374
"ENSG00000138600.9",1560,1489,1988,1541,1455,2294,1488,1695
"ENSG00000138604.9",890,1391,1124,1366,1522,3171,935,1845
"ENSG00000138606.19",197,124,129,69,76,75,141,126
"ENSG00000138613.13",592,500,864,582,924,1014,563,692
"ENSG00000138614.14",566,450,643,360,580,677,459,523
"ENSG00000138615.5",292,919,699,981,475,953,574,1660
"ENSG00000138617.14",223,151,277,130,204,221,201,200
"ENSG00000138621.11",79,70,90,46,110,126,61,72
"ENSG00000138622.3",0,1,1,0,0,0,0,0
"ENSG00000138623.9",174,153,373,218,325,715,269,250
"ENSG00000138629.15",709,732,854,508,893,1064,615,751
"ENSG00000138639.17",576,446,412,235,681,710,590,532
"ENSG00000138640.14",923,894,1011,629,1324,1494,856,1043
"ENSG00000138641.15",976,1246,1080,855,1102,1215,885,1451
"ENSG00000138642.14",228,150,278,135,201,169,187,143
"ENSG00000138646.8",178,71,98,41,47,33,127,70
"ENSG00000138650.8",335,283,344,109,35,51,143,69
"ENSG00000138658.15",98,44,95,21,95,63,84,50
"ENSG00000138660.11",293,252,249,180,276,312,199,303
"ENSG00000138663.8",692,568,786,485,773,824,650,501
"ENSG00000138668.18",1643,1536,2032,1271,1896,2291,1577,1423
"ENSG00000138669.9",414,170,316,44,701,249,542,164
"ENSG00000138670.17",2,10,4,3,8,8,3,2
"ENSG00000138674.16",10133,7710,10824,5193,11655,12708,8341,7632
"ENSG00000138675.16",1495,985,1541,808,2680,3628,1502,1055
"ENSG00000138678.10",69,140,104,102,64,230,77,175
"ENSG00000138685.13",1663,1181,2177,1033,2231,2619,1390,1245
"ENSG00000138686.9",475,639,669,470,653,1129,503,722
"ENSG00000138688.15",4057,2845,4759,2452,5250,6370,4520,4440
"ENSG00000138696.10",24,56,39,48,43,77,34,48
"ENSG00000138698.14",913,912,1398,836,1359,1756,991,1068
"ENSG00000138709.17",201,224,227,175,271,390,210,261
"ENSG00000138722.9",1,0,1,1,0,0,1,2
"ENSG00000138735.15",9095,3402,15861,4528,9749,5371,10286,4129
"ENSG00000138738.10",283,246,403,160,303,375,395,334
"ENSG00000138741.10",9,6,8,7,38,49,12,15
"ENSG00000138744.14",105,107,220,215,142,232,233,430
"ENSG00000138750.14",616,567,712,453,788,903,546,571
"ENSG00000138755.5",1,2,0,0,0,0,0,0
"ENSG00000138756.17",1799,1383,3231,1092,2665,2639,1389,1079
"ENSG00000138757.14",2905,2331,3197,2004,3714,4660,2640,2723
"ENSG00000138758.11",18738,19388,26086,12797,27995,43353,23346,23275
"ENSG00000138759.18",8,33,52,17,6,14,15,24
"ENSG00000138760.9",8668,7469,11321,6835,11548,12966,9931,9970
"ENSG00000138764.14",1739,1223,1386,936,1647,1404,1307,1618
"ENSG00000138767.12",509,459,490,303,514,586,455,496
"ENSG00000138768.14",2660,2285,2790,2037,2913,4478,2192,2479
"ENSG00000138769.10",9,4,10,3,11,5,10,13
"ENSG00000138771.14",887,738,1003,715,991,2600,1064,1666
"ENSG00000138772.12",29,37,166,80,59,94,45,56
"ENSG00000138777.19",490,414,546,367,511,629,404,368
"ENSG00000138778.11",167,158,259,103,210,166,199,170
"ENSG00000138780.14",188,147,181,109,228,218,162,139
"ENSG00000138785.14",274,281,357,192,387,435,227,251
"ENSG00000138792.9",8,20,4,6,34,52,30,43
"ENSG00000138794.9",184,142,169,104,205,175,140,147
"ENSG00000138795.9",282,252,181,122,26,27,95,160
"ENSG00000138796.16",702,561,676,449,668,665,566,578
"ENSG00000138798.11",0,0,3,2,2,2,6,1
"ENSG00000138801.8",1451,1149,1418,759,1248,1352,1000,1004
"ENSG00000138802.11",1083,1203,1159,1010,1340,1846,879,1588
"ENSG00000138813.9",6,3,9,2,9,2,2,2
"ENSG00000138814.16",1442,1319,1414,810,1619,1783,1126,1156
"ENSG00000138821.12",344,289,571,297,262,345,277,343
"ENSG00000138823.13",1,3,3,2,1,2,3,8
"ENSG00000138829.11",6781,16660,4551,7422,12105,78470,3507,16972
"ENSG00000138834.12",1565,1206,1749,709,1796,1685,1345,1326
"ENSG00000138835.22",945,721,1118,588,1026,1295,919,841
"ENSG00000138867.16",1734,1782,2007,1186,2001,2427,1415,1859
"ENSG00000138942.15",1226,1203,1363,880,1249,2214,1182,1348
"ENSG00000138944.7",400,111,276,42,664,479,195,45
"ENSG00000138964.16",1,0,0,0,0,1,0,0
"ENSG00000139044.10",1,0,0,0,0,1,1,0
"ENSG00000139055.6",3,3,7,24,9,34,7,40
"ENSG00000139083.10",468,491,696,360,643,966,445,486
"ENSG00000139112.10",4224,5247,8106,5640,6914,11015,4520,7160
"ENSG00000139116.18",88,70,90,30,115,141,66,56
"ENSG00000139117.13",203,169,245,124,208,198,182,192
"ENSG00000139131.12",215,200,278,119,248,329,165,169
"ENSG00000139132.14",374,1433,469,1310,504,2336,471,2641
"ENSG00000139133.6",64,48,52,29,60,77,50,50
"ENSG00000139144.9",1,2,0,0,1,1,0,1
"ENSG00000139146.13",116,134,107,86,137,206,86,120
"ENSG00000139154.14",790,604,837,403,916,936,757,586
"ENSG00000139155.8",0,0,1,0,2,3,0,0
"ENSG00000139160.13",122,65,149,83,122,130,97,94
"ENSG00000139163.15",635,678,570,535,624,776,475,621
"ENSG00000139168.7",702,627,858,444,894,935,722,702
"ENSG00000139173.9",217,106,265,108,230,184,197,130
"ENSG00000139174.11",682,500,887,549,649,980,565,663
"ENSG00000139178.10",1805,1726,2542,1802,1781,2320,1524,1975
"ENSG00000139180.10",587,565,591,323,636,656,464,461
"ENSG00000139182.13",480,456,865,420,650,561,492,422
"ENSG00000139187.9",26,3,16,5,14,17,16,8
"ENSG00000139190.16",413,406,579,410,620,633,525,596
"ENSG00000139192.11",314,215,268,121,373,348,232,196
"ENSG00000139193.3",10,8,16,15,15,10,9,15
"ENSG00000139194.7",75,71,133,48,84,85,58,74
"ENSG00000139197.10",914,786,855,534,804,923,716,772
"ENSG00000139200.13",287,399,564,421,659,751,324,496
"ENSG00000139209.15",137,89,204,143,370,686,159,157
"ENSG00000139211.6",182,234,201,121,183,366,277,294
"ENSG00000139218.17",2183,1855,2530,1565,2832,3980,1877,2039
"ENSG00000139220.16",31,42,13,45,38,124,20,38
"ENSG00000139233.6",586,612,721,494,869,1166,529,608
"ENSG00000139239.7",0,0,6,2,6,6,6,0
"ENSG00000139263.11",2238,1801,2328,1083,3135,2550,1860,1570
"ENSG00000139266.5",205,222,168,102,220,246,153,163
"ENSG00000139269.2",28,7,37,3,32,6,19,5
"ENSG00000139278.9",2046,2006,3604,1775,3088,4396,2816,2154
"ENSG00000139287.12",19,15,38,24,26,25,28,18
"ENSG00000139289.13",4069,1768,4242,1031,4533,2783,3601,1708
"ENSG00000139291.13",647,728,598,705,606,1123,530,845
"ENSG00000139292.12",0,10,2,17,0,6,2,1
"ENSG00000139304.12",116,108,440,157,143,265,77,72
"ENSG00000139318.7",142,66,188,82,170,547,185,121
"ENSG00000139323.13",256,229,289,195,300,355,223,305
"ENSG00000139324.11",974,717,1264,844,1453,1511,935,1023
"ENSG00000139329.4",11336,4494,21436,7679,23682,15047,20017,11342
"ENSG00000139330.5",1,0,1,0,1,0,1,0
"ENSG00000139343.10",287,213,289,155,262,338,229,173
"ENSG00000139344.7",15,14,14,7,28,17,21,22
"ENSG00000139350.11",444,382,509,317,539,673,449,517
"ENSG00000139351.14",7,3,12,3,4,12,11,10
"ENSG00000139354.10",191,95,143,45,248,94,147,70
"ENSG00000139364.10",42,24,111,50,85,90,122,80
"ENSG00000139370.11",531,465,526,384,638,898,485,556
"ENSG00000139372.14",340,277,358,219,420,503,292,289
"ENSG00000139405.15",211,174,212,126,230,317,190,159
"ENSG00000139410.14",96,49,103,27,100,77,58,30
"ENSG00000139428.11",163,90,204,74,139,132,105,79
"ENSG00000139433.9",818,860,1258,700,1303,1806,850,1063
"ENSG00000139436.20",1989,2291,2903,2435,2489,4280,1884,3079
"ENSG00000139437.17",375,411,478,330,404,678,311,396
"ENSG00000139438.5",4,5,14,4,2,6,7,2
"ENSG00000139496.15",672,657,626,426,837,1231,556,609
"ENSG00000139505.11",851,747,853,569,1018,1072,756,757
"ENSG00000139508.14",225,160,294,176,270,282,218,200
"ENSG00000139514.12",591,465,745,325,622,860,611,540
"ENSG00000139517.7",147,129,176,97,155,145,115,129
"ENSG00000139531.12",377,357,477,213,392,325,311,262
"ENSG00000139537.10",19,22,25,18,21,38,23,24
"ENSG00000139540.11",1,2,0,1,0,3,0,4
"ENSG00000139546.10",349,397,388,224,343,474,240,336
"ENSG00000139547.7",7,3,11,2,11,16,11,3
"ENSG00000139567.12",772,1270,741,719,630,1334,544,1007
"ENSG00000139574.8",0,0,0,3,0,0,0,0
"ENSG00000139579.12",392,377,389,230,413,490,332,338
"ENSG00000139597.17",156,130,265,211,227,180,165,257
"ENSG00000139610.1",0,0,6,1,3,1,1,0
"ENSG00000139613.11",2509,2028,2976,1534,3463,3486,2167,2209
"ENSG00000139618.14",87,70,97,38,81,65,116,54
"ENSG00000139620.12",339,276,392,247,434,456,309,319
"ENSG00000139624.12",541,687,735,585,690,1211,595,758
"ENSG00000139625.12",1806,1449,2138,1049,1996,1722,1712,1691
"ENSG00000139626.15",6,5,7,8,5,5,7,7
"ENSG00000139629.15",96,60,275,143,298,273,130,66
"ENSG00000139631.18",390,309,467,250,417,383,388,350
"ENSG00000139636.15",573,596,667,446,638,871,556,777
"ENSG00000139637.13",555,484,619,322,560,719,453,479
"ENSG00000139641.12",3646,2936,3778,2262,3798,4883,2789,2902
"ENSG00000139644.12",9376,10362,13243,9121,12291,17943,8708,11209
"ENSG00000139645.9",1488,1454,1715,1002,2114,2634,1357,1530
"ENSG00000139651.10",939,818,917,587,927,1014,695,777
"ENSG00000139656.6",0,0,0,1,0,2,0,0
"ENSG00000139668.8",267,210,290,115,341,376,287,181
"ENSG00000139675.11",100,54,135,79,121,110,81,60
"ENSG00000139679.15",191,188,199,159,224,278,157,194
"ENSG00000139684.13",1884,1793,2244,1391,2362,2871,1767,1879
"ENSG00000139687.13",1085,1231,1259,939,1258,1698,973,1298
"ENSG00000139697.13",1322,1124,1493,840,1440,1751,1174,1249
"ENSG00000139714.12",31,55,106,39,91,84,46,56
"ENSG00000139718.10",942,962,1085,687,1040,1398,824,1092
"ENSG00000139719.9",522,420,605,327,633,655,459,433
"ENSG00000139722.6",631,488,540,320,580,690,482,461
"ENSG00000139725.7",33,49,48,27,57,47,58,47
"ENSG00000139726.10",1104,966,1285,762,1443,1801,1002,983
"ENSG00000139734.17",107,165,221,156,143,224,163,274
"ENSG00000139737.21",5,2,0,0,1,2,0,1
"ENSG00000139746.15",881,674,1077,509,1225,1345,839,742
"ENSG00000139767.9",2,1,3,1,6,6,2,0
"ENSG00000139780.7",3,0,3,4,0,2,3,8
"ENSG00000139793.18",1404,1647,1522,1375,1566,2494,1460,2177
"ENSG00000139800.8",1,0,0,0,0,0,0,1
"ENSG00000139826.5",343,353,363,325,342,527,310,351
"ENSG00000139832.4",101,119,84,56,99,198,54,76
"ENSG00000139835.13",82,85,78,56,57,80,33,44
"ENSG00000139842.14",1995,2013,2330,1515,2413,3174,1939,2193
"ENSG00000139865.16",5,1,6,1,9,2,0,2
"ENSG00000139874.5",310,333,290,94,240,366,251,156
"ENSG00000139880.19",191,98,219,80,312,191,150,104
"ENSG00000139890.9",2,1,7,2,7,11,10,11
"ENSG00000139899.10",333,290,272,141,242,283,398,278
"ENSG00000139908.14",32,29,56,18,49,46,28,19
"ENSG00000139910.19",300,218,368,151,517,336,418,260
"ENSG00000139914.6",4,0,1,0,0,2,0,2
"ENSG00000139915.19",2,3,5,1,3,8,2,5
"ENSG00000139921.12",1424,1422,1066,939,1066,1534,954,1067
"ENSG00000139926.15",6371,4379,6793,4113,8005,8836,5630,5811
"ENSG00000139946.9",479,205,481,207,617,445,456,312
"ENSG00000139970.16",12,11,203,116,69,93,6,14
"ENSG00000139971.15",190,68,142,64,97,98,134,112
"ENSG00000139973.16",12,10,23,9,29,65,14,10
"ENSG00000139974.15",476,362,488,285,578,548,430,406
"ENSG00000139977.13",567,493,644,464,653,797,510,608
"ENSG00000139985.6",18,7,18,14,13,15,16,10
"ENSG00000139988.9",2,0,4,5,10,2,1,1
"ENSG00000139990.17",1258,1028,1608,761,1671,1409,1250,1196
"ENSG00000139998.14",219,149,335,179,422,452,227,220
"ENSG00000140006.11",86,79,96,48,99,130,91,76
"ENSG00000140009.18",4,5,9,4,9,12,3,6
"ENSG00000140015.19",10,11,73,4,3,4,34,6
"ENSG00000140022.9",571,253,487,168,159,54,218,124
"ENSG00000140025.15",152,76,140,63,118,103,102,82
"ENSG00000140030.5",5,3,1,1,1,18,1,2
"ENSG00000140043.11",178,157,281,131,200,220,213,178
"ENSG00000140044.12",1495,1327,1973,711,1463,1441,1452,1127
"ENSG00000140057.8",6,13,20,6,7,17,8,11
"ENSG00000140090.17",9,6,15,5,9,4,9,4
"ENSG00000140092.14",7954,8523,10458,6770,10620,16267,7402,10386
"ENSG00000140093.9",8,12,18,10,17,15,5,13
"ENSG00000140104.13",198,132,274,139,210,222,201,147
"ENSG00000140105.17",3852,1562,5214,1298,3112,1788,4829,1383
"ENSG00000140153.17",346,266,338,247,426,508,293,327
"ENSG00000140157.14",819,849,985,580,923,1298,712,773
"ENSG00000140199.11",1113,773,1478,871,1308,1442,1152,1271
"ENSG00000140254.12",0,1,1,1,2,1,2,1
"ENSG00000140259.6",849,651,1063,522,1108,1324,742,614
"ENSG00000140262.17",2921,2705,3147,1918,3566,3881,2594,2981
"ENSG00000140263.13",286,228,266,128,469,392,222,212
"ENSG00000140264.19",7244,6660,7232,4605,6856,8554,6390,6114
"ENSG00000140265.12",586,398,691,306,669,732,525,478
"ENSG00000140274.13",0,0,0,1,0,1,0,2
"ENSG00000140279.12",0,0,3,4,1,2,1,1
"ENSG00000140280.13",84,67,52,44,57,79,65,55
"ENSG00000140284.10",1,2,5,0,2,0,1,1
"ENSG00000140285.9",9752,7759,9826,6173,12040,11144,10295,8234
"ENSG00000140287.10",1,0,0,0,1,0,0,0
"ENSG00000140297.12",12,4,7,6,15,12,10,4
"ENSG00000140299.11",1602,1673,1897,1468,1941,2605,1484,1867
"ENSG00000140307.10",546,521,579,379,656,744,376,398
"ENSG00000140319.10",3341,2915,3929,2462,4154,4978,2875,2986
"ENSG00000140320.11",699,621,645,402,627,783,562,657
"ENSG00000140323.5",34,22,114,51,59,80,91,65
"ENSG00000140326.12",370,261,365,180,453,441,331,309
"ENSG00000140332.15",545,380,556,242,534,493,582,374
"ENSG00000140350.15",810,612,1001,396,1127,1001,670,449
"ENSG00000140365.15",791,727,843,477,807,1083,642,656
"ENSG00000140367.11",1188,1095,1186,886,1348,1737,1006,1185
"ENSG00000140368.12",7,5,27,11,21,50,5,10
"ENSG00000140374.15",1090,1234,1332,1069,1398,1850,1116,1332
"ENSG00000140379.7",13,7,15,6,46,23,24,22
"ENSG00000140382.14",735,689,905,544,968,1301,652,779
"ENSG00000140386.12",332,249,398,232,317,355,252,332
"ENSG00000140391.14",3815,3676,6045,3406,6054,7898,4032,4304
"ENSG00000140395.8",611,475,677,348,558,770,506,473
"ENSG00000140396.12",1455,1215,1882,933,1525,1833,1443,1521
"ENSG00000140398.13",205,253,169,145,127,192,210,232
"ENSG00000140400.16",2100,1964,1972,953,1483,2065,1686,1861
"ENSG00000140403.12",81,90,130,97,39,47,97,133
"ENSG00000140406.3",228,320,219,152,223,312,193,307
"ENSG00000140416.19",3003,4107,5166,3617,4226,10914,4203,4666
"ENSG00000140443.13",4108,4540,4416,3858,4117,6786,3282,5942
"ENSG00000140450.8",1687,786,1861,751,1686,1360,1588,831
"ENSG00000140451.12",118,147,165,86,156,208,94,117
"ENSG00000140455.16",463,351,543,257,688,440,418,347
"ENSG00000140459.17",18,18,37,42,33,47,30,56
"ENSG00000140463.13",629,504,893,600,818,823,682,714
"ENSG00000140464.19",1487,1380,1598,1044,1387,2513,1240,1459
"ENSG00000140465.13",0,18,0,0,2,4,0,0
"ENSG00000140470.13",7,18,4,4,4,8,1,4
"ENSG00000140471.16",114,112,155,64,153,160,128,101
"ENSG00000140474.12",363,447,274,213,333,466,295,343
"ENSG00000140478.15",0,2,0,1,2,2,5,2
"ENSG00000140479.16",31,41,269,74,16,36,95,123
"ENSG00000140488.15",23,48,61,24,36,44,32,71
"ENSG00000140497.16",1197,1185,1429,1000,1296,2156,1128,1447
"ENSG00000140505.6",8,4,15,6,12,17,6,7
"ENSG00000140506.16",0,3,0,0,0,0,1,0
"ENSG00000140511.11",47,168,178,186,51,303,88,153
"ENSG00000140519.12",0,2,0,1,1,1,0,1
"ENSG00000140521.12",891,1011,951,555,1098,1535,758,973
"ENSG00000140525.17",245,249,250,176,259,321,240,282
"ENSG00000140526.17",1592,1455,1770,1405,1548,2913,1764,2507
"ENSG00000140527.14",5,2,7,4,0,0,13,1
"ENSG00000140534.13",35,27,59,20,59,104,56,39
"ENSG00000140538.16",15,6,5,4,18,27,11,4
"ENSG00000140543.14",196,91,253,84,225,244,147,98
"ENSG00000140545.14",4597,10499,6988,8242,8738,19796,5816,13494
"ENSG00000140548.9",323,301,371,163,449,633,307,292
"ENSG00000140553.17",2010,1941,2124,1189,1990,2503,1398,1818
"ENSG00000140563.14",130,80,263,115,139,220,179,196
"ENSG00000140564.11",2126,2428,2174,1792,2895,4394,1829,3105
"ENSG00000140575.12",6636,6206,7663,4928,8069,11581,6398,7663
"ENSG00000140577.15",1370,1271,1477,876,1897,2122,1057,1171
"ENSG00000140598.13",423,272,601,271,549,573,496,374
"ENSG00000140600.16",35,8,9,0,14,4,20,3
"ENSG00000140612.13",2385,2310,2639,1620,2616,3135,1949,2074
"ENSG00000140623.13",0,1,0,0,0,1,0,0
"ENSG00000140632.16",1823,1669,2205,1065,2343,2821,1517,1505
"ENSG00000140650.11",413,513,514,340,603,1007,431,514
"ENSG00000140675.12",3,5,4,1,9,25,4,6
"ENSG00000140678.16",2,1,3,2,4,9,2,1
"ENSG00000140682.18",1534,2153,1805,1396,1480,3500,1403,1887
"ENSG00000140688.16",1589,1398,1878,1009,1870,2528,1366,1570
"ENSG00000140691.16",205,157,233,112,189,268,207,217
"ENSG00000140694.16",868,835,1015,665,1014,1276,763,886
"ENSG00000140718.20",1155,932,1508,799,1794,2020,1215,1081
"ENSG00000140740.10",1815,1578,2205,1172,2444,2726,1450,1649
"ENSG00000140743.7",625,813,779,488,979,1744,557,837
"ENSG00000140749.8",11,2,16,3,13,17,4,2
"ENSG00000140750.16",1399,1199,1376,802,1416,1781,1115,1098
"ENSG00000140795.12",32,22,59,18,52,54,34,34
"ENSG00000140798.15",0,0,0,0,0,0,0,2
"ENSG00000140807.6",112,249,111,458,70,369,79,582
"ENSG00000140829.11",1333,1283,1306,794,1447,2034,1079,1172
"ENSG00000140830.8",172,154,185,125,160,187,136,180
"ENSG00000140832.9",8,9,11,6,12,11,10,5
"ENSG00000140836.15",1260,1108,1600,874,1487,2057,1285,1294
"ENSG00000140839.11",0,10,0,1,1,0,0,0
"ENSG00000140848.16",393,403,433,247,421,574,467,475
"ENSG00000140853.15",383,387,473,296,443,614,349,415
"ENSG00000140854.12",414,341,410,210,351,431,318,326
"ENSG00000140859.15",692,674,617,311,707,1632,603,610
"ENSG00000140876.11",92,40,79,49,59,92,80,81
"ENSG00000140905.10",213,186,208,122,281,266,184,162
"ENSG00000140931.19",729,671,700,516,569,676,718,857
"ENSG00000140932.9",0,1,2,0,0,0,1,0
"ENSG00000140937.13",10999,6437,13053,6752,8406,11815,10776,10407
"ENSG00000140939.14",246,227,356,178,324,382,241,219
"ENSG00000140941.12",3488,2899,4074,2624,4177,4623,3180,3314
"ENSG00000140943.16",3863,3043,4544,2596,4397,5084,4075,4160
"ENSG00000140945.16",741,781,565,302,1071,1511,361,688
"ENSG00000140948.11",1695,1264,1389,796,1468,1339,1707,1535
"ENSG00000140950.15",395,404,520,333,491,763,421,522
"ENSG00000140961.12",253,173,152,162,271,207,137,181
"ENSG00000140983.13",1042,1018,1063,512,1127,1551,789,913
"ENSG00000140986.7",2,4,7,2,7,7,4,4
"ENSG00000140987.19",236,209,311,182,353,378,206,238
"ENSG00000140988.15",25691,24641,23877,11193,24832,27963,17689,17580
"ENSG00000140990.14",900,872,1089,544,1206,1400,770,861
"ENSG00000140992.18",1517,1267,1490,848,1599,1894,1224,1524
"ENSG00000140993.10",57,68,64,73,79,87,72,92
"ENSG00000140995.16",942,966,1165,733,1044,1489,773,1042
"ENSG00000141002.19",2613,2275,3229,1583,3106,3324,2205,2263
"ENSG00000141012.12",666,653,646,349,902,1135,452,536
"ENSG00000141013.16",217,213,391,160,293,384,246,235
"ENSG00000141026.5",253,187,323,145,312,315,258,249
"ENSG00000141027.20",2633,2355,3098,1649,3611,4884,2476,2718
"ENSG00000141028.6",1,2,2,0,2,3,0,2
"ENSG00000141030.12",745,580,828,380,836,754,595,542
"ENSG00000141034.9",472,458,531,415,642,724,435,579
"ENSG00000141040.14",155,126,197,136,176,208,147,116
"ENSG00000141052.17",55,106,101,106,154,110,110,232
"ENSG00000141068.13",591,486,533,139,1026,979,347,218
"ENSG00000141076.17",591,590,619,414,751,919,559,522
"ENSG00000141084.10",523,430,702,365,642,780,472,522
"ENSG00000141086.17",0,2,1,0,1,0,0,3
"ENSG00000141096.4",0,0,0,0,0,0,2,0
"ENSG00000141098.12",334,232,309,184,360,398,289,247
"ENSG00000141101.12",743,599,817,364,892,907,660,674
"ENSG00000141127.14",227,161,224,71,205,201,194,153
"ENSG00000141161.11",1,0,1,0,2,1,1,0
"ENSG00000141179.13",210,229,232,168,252,289,140,173
"ENSG00000141194.6",0,3,1,1,0,2,4,3
"ENSG00000141198.15",123,204,205,191,291,469,103,211
"ENSG00000141219.15",497,383,604,318,696,703,375,365
"ENSG00000141232.4",833,815,1077,690,904,1082,939,1104
"ENSG00000141252.19",1012,960,1251,681,1144,1383,860,937
"ENSG00000141255.12",4,1,0,0,22,33,0,1
"ENSG00000141258.12",1852,1475,2021,942,1981,1923,1684,1545
"ENSG00000141279.15",5218,4398,5969,3637,5652,5275,4539,5267
"ENSG00000141293.15",1,0,0,0,0,1,0,0
"ENSG00000141294.9",23,21,10,8,25,31,8,10
"ENSG00000141295.13",507,389,357,144,389,429,369,349
"ENSG00000141298.17",1092,2796,1580,2173,1924,3270,942,2949
"ENSG00000141314.12",14,7,6,2,2,4,13,4
"ENSG00000141316.12",1,1,0,0,2,1,2,1
"ENSG00000141337.12",417,651,538,428,889,1290,357,580
"ENSG00000141338.13",4108,4591,4774,2705,5435,5450,3486,3971
"ENSG00000141349.8",559,644,760,458,857,1194,616,645
"ENSG00000141367.11",11563,10161,13617,8021,13760,17294,10766,10129
"ENSG00000141371.12",1,0,1,0,2,1,1,0
"ENSG00000141376.22",604,571,788,535,834,799,693,772
"ENSG00000141378.14",194,216,208,132,236,359,167,168
"ENSG00000141380.13",1471,1578,1720,1120,1869,2402,1294,1582
"ENSG00000141384.12",73,64,47,56,49,99,64,110
"ENSG00000141385.9",772,760,837,623,1005,1157,771,837
"ENSG00000141391.13",76,75,138,64,126,143,106,103
"ENSG00000141401.11",205,585,307,929,219,1528,183,1042
"ENSG00000141404.15",83,82,65,40,110,89,55,43
"ENSG00000141424.12",2388,1982,3075,1515,3996,3903,2234,2090
"ENSG00000141425.17",664,559,724,517,759,1125,522,604
"ENSG00000141428.16",162,151,219,123,247,273,160,138
"ENSG00000141429.13",1951,1532,2189,1179,1844,1985,1819,1587
"ENSG00000141431.10",72,35,43,5,20,9,44,15
"ENSG00000141434.11",2,1,0,0,2,2,3,2
"ENSG00000141437.8",4,3,3,3,8,3,4,7
"ENSG00000141441.15",135,115,125,88,238,316,95,137
"ENSG00000141446.10",245,273,349,189,354,445,253,293
"ENSG00000141447.17",1812,1052,2586,1360,2312,2094,2188,1708
"ENSG00000141448.8",159,65,309,109,160,194,176,120
"ENSG00000141449.14",0,1,4,6,2,1,0,4
"ENSG00000141452.9",322,365,327,328,419,559,282,484
"ENSG00000141456.14",933,745,1005,535,1043,1052,776,704
"ENSG00000141458.12",691,832,742,837,835,2327,756,1199
"ENSG00000141469.16",68,2,142,11,33,27,184,10
"ENSG00000141480.17",162,124,201,85,154,174,167,115
"ENSG00000141485.16",7,6,8,1,4,3,4,4
"ENSG00000141497.13",14,10,7,6,5,20,16,8
"ENSG00000141499.16",117,93,93,65,116,128,93,86
"ENSG00000141503.15",2100,1745,2230,1099,1871,2028,1825,1867
"ENSG00000141504.11",819,659,770,421,825,764,759,635
"ENSG00000141505.11",17,8,19,6,15,17,11,6
"ENSG00000141506.13",0,0,0,0,1,1,0,0
"ENSG00000141510.16",1072,681,1020,407,1295,1239,729,529
"ENSG00000141519.14",114,138,107,39,154,141,77,52
"ENSG00000141522.11",4237,5375,4710,3324,4158,7576,3545,4804
"ENSG00000141524.15",5,4,4,1,2,7,3,1
"ENSG00000141526.16",1725,1744,1592,821,2068,8195,1223,1509
"ENSG00000141527.16",29,15,21,6,13,13,15,22
"ENSG00000141540.10",111,70,87,26,68,43,52,40
"ENSG00000141542.10",357,255,354,168,280,233,319,281
"ENSG00000141543.9",1074,1257,950,563,1246,1729,895,950
"ENSG00000141551.14",3413,3215,3802,2094,3898,4306,2908,2745
"ENSG00000141552.17",807,758,660,443,674,1001,539,671
"ENSG00000141556.20",1784,1403,2027,1132,2474,2944,1456,1593
"ENSG00000141560.14",516,372,563,347,531,644,466,453
"ENSG00000141562.17",717,524,804,383,895,916,736,639
"ENSG00000141564.13",682,700,822,465,822,1142,593,684
"ENSG00000141568.20",925,889,941,632,1121,1342,712,864
"ENSG00000141569.10",352,407,353,183,411,440,330,301
"ENSG00000141570.10",168,171,163,99,172,313,103,141
"ENSG00000141574.7",793,418,1027,320,757,670,807,514
"ENSG00000141576.14",232,483,90,102,242,276,127,261
"ENSG00000141577.13",248,179,222,106,223,248,196,181
