"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"A_24_P532180"	"1"	"0.257628"	"-1.2485969"	"-4.59"	"-0.58077717"	"LOC90246"	"uncharacterized LOC90246"
"A_32_P186121"	"1"	"0.257744"	"1.2482564"	"-4.59"	"0.77404685"	"PHKA1"	"phosphorylase kinase regulatory subunit alpha 1"
"A_32_P142943"	"1"	"0.25787"	"-1.2478877"	"-4.59"	"-0.75113422"	""	""
"A_23_P67169"	"1"	"0.25789"	"-1.2478284"	"-4.59"	"-0.85461114"	"IL11"	"interleukin 11"
"A_23_P159110"	"1"	"0.25791"	"-1.2477701"	"-4.59"	"-0.64712121"	"SLC35E3"	"solute carrier family 35 member E3"
"A_32_P179526"	"1"	"0.258037"	"-1.2473994"	"-4.59"	"-0.59890267"	"ZBTB20"	"zinc finger and BTB domain containing 20"
"A_24_P573978"	"1"	"0.258055"	"1.2473458"	"-4.59"	"0.56141658"	""	""
"A_23_P64888"	"1"	"0.258164"	"-1.2470262"	"-4.59"	"-0.84814629"	"TAS2R10"	"taste 2 receptor member 10"
"A_23_P83659"	"1"	"0.25821"	"-1.246894"	"-4.59"	"-0.62068442"	"XPNPEP2"	"X-prolyl aminopeptidase 2"
"A_23_P26799"	"1"	"0.258264"	"1.246735"	"-4.59"	"0.60338517"	"MPDU1"	"mannose-P-dolichol utilization defect 1"
"A_23_P86956"	"1"	"0.258425"	"-1.2462659"	"-4.59"	"-0.73102351"	"ADAMTS8"	"ADAM metallopeptidase with thrombospondin type 1 motif 8"
"A_23_P5002"	"1"	"0.258542"	"-1.2459235"	"-4.59"	"-0.62972024"	"MAP4K1"	"mitogen-activated protein kinase kinase kinase kinase 1"
"A_23_P128598"	"1"	"0.258553"	"1.2458903"	"-4.59"	"0.59085556"	"TUBA3C"	"tubulin alpha 3c"
"A_23_P155711"	"1"	"0.258567"	"-1.2458487"	"-4.59"	"-0.74317247"	"NEIL3"	"nei like DNA glycosylase 3"
"A_23_P115922"	"1"	"0.258574"	"-1.2458299"	"-4.59"	"-0.58067842"	"EIF4EBP2"	"eukaryotic translation initiation factor 4E binding protein 2"
"A_32_P48506"	"1"	"0.258594"	"1.2457701"	"-4.59"	"1.4560274"	""	""
"A_24_P512775"	"1"	"0.258603"	"1.2457436"	"-4.59"	"1.41732053"	""	""
"A_24_P329924"	"1"	"0.258633"	"-1.2456564"	"-4.59"	"-0.60010722"	"SIK3"	"SIK family kinase 3"
"A_24_P206702"	"1"	"0.258646"	"1.2456204"	"-4.59"	"0.63714995"	"IZUMO1R"	"IZUMO1 receptor, JUNO"
"A_24_P83961"	"1"	"0.258662"	"1.2455729"	"-4.59"	"0.59304164"	"PCNX3"	"pecanex homolog 3 (Drosophila)"
"A_23_P408473"	"1"	"0.25874"	"1.2453461"	"-4.59"	"0.57260702"	"MROH1"	"maestro heat like repeat family member 1"
"A_32_P133821"	"1"	"0.258834"	"-1.2450698"	"-4.59"	"-0.87542611"	""	""
"A_24_P235520"	"1"	"0.258899"	"-1.2448812"	"-4.59"	"-0.62797043"	"FAM27E3"	"family with sequence similarity 27 member E3"
"A_23_P110430"	"1"	"0.258942"	"1.2447563"	"-4.59"	"0.76557933"	"MSX1"	"msh homeobox 1"
"A_24_P265274"	"1"	"0.258959"	"1.244707"	"-4.59"	"0.63017013"	"COL1A2"	"collagen type I alpha 2 chain"
"A_24_P313993"	"1"	"0.258962"	"1.2446976"	"-4.59"	"0.57554001"	"CAPS"	"calcyphosine"
"A_23_P96827"	"1"	"0.258967"	"1.2446842"	"-4.59"	"0.80567738"	"APCS"	"amyloid P component, serum"
"A_24_P44596"	"1"	"0.258995"	"1.2446009"	"-4.59"	"0.5909309"	"MON1B"	"MON1 homolog B, secretory trafficking associated"
"A_23_P87902"	"1"	"0.259012"	"1.244553"	"-4.59"	"0.61964958"	"DYRK4"	"dual specificity tyrosine phosphorylation regulated kinase 4"
"A_24_P79070"	"1"	"0.259017"	"1.2445358"	"-4.59"	"0.65624823"	"GNG8"	"G protein subunit gamma 8"
"A_23_P250714"	"1"	"0.259123"	"1.2442284"	"-4.59"	"0.78170722"	"EXOG"	"endo/exonuclease (5'-3'), endonuclease G-like"
"A_23_P156076"	"1"	"0.259138"	"1.2441838"	"-4.59"	"1.33614185"	"AGXT2"	"alanine--glyoxylate aminotransferase 2"
"A_23_P200325"	"1"	"0.25914"	"-1.2441799"	"-4.59"	"-0.90601918"	"RABGAP1L"	"RAB GTPase activating protein 1 like"
"A_23_P143274"	"1"	"0.259147"	"-1.2441569"	"-4.59"	"-0.66955291"	"NRSN2"	"neurensin 2"
"A_24_P367326"	"1"	"0.259308"	"1.2436903"	"-4.59"	"0.77990249"	""	""
"A_23_P501515"	"1"	"0.25937"	"-1.2435091"	"-4.59"	"-0.64499233"	"HNRNPU"	"heterogeneous nuclear ribonucleoprotein U"
"A_23_P83976"	"1"	"0.259379"	"-1.2434834"	"-4.59"	"-1.02131413"	""	""
"A_23_P329315"	"1"	"0.259385"	"-1.2434649"	"-4.59"	"-0.73202553"	"USP49"	"ubiquitin specific peptidase 49"
"A_24_P931944"	"1"	"0.259398"	"-1.2434278"	"-4.59"	"-0.64172834"	"PARVA"	"parvin alpha"
"A_24_P341116"	"1"	"0.259422"	"-1.2433575"	"-4.59"	"-2.2142723"	"SERPINA13P"	"serpin family A member 13, pseudogene"
"A_23_P215484"	"1"	"0.259466"	"1.2432279"	"-4.59"	"0.62247199"	"CCL26"	"C-C motif chemokine ligand 26"
"A_23_P411431"	"1"	"0.259483"	"-1.24318"	"-4.59"	"-1.06035907"	""	""
"A_23_P143512"	"1"	"0.259587"	"1.2428761"	"-4.59"	"0.59331706"	"HSF2BP"	"heat shock transcription factor 2 binding protein"
"A_32_P80697"	"1"	"0.25971"	"1.2425205"	"-4.59"	"0.94881008"	""	""
"A_32_P123629"	"1"	"0.259727"	"-1.2424695"	"-4.59"	"-0.66122196"	"TTC39C"	"tetratricopeptide repeat domain 39C"
"A_24_P76288"	"1"	"0.259751"	"1.242401"	"-4.59"	"0.65846205"	""	""
"A_32_P89049"	"1"	"0.259824"	"1.2421887"	"-4.59"	"0.69423894"	""	""
"A_24_P928391"	"1"	"0.259877"	"-1.2420344"	"-4.59"	"-0.74459595"	"GOSR2"	"golgi SNAP receptor complex member 2"
"A_24_P725541"	"1"	"0.259887"	"1.242004"	"-4.59"	"0.64004039"	""	""
"A_24_P570583"	"1"	"0.259892"	"-1.2419899"	"-4.59"	"-1.29486177"	"ZNF542P"	"zinc finger protein 542, pseudogene"
"A_23_P205057"	"1"	"0.259979"	"1.241738"	"-4.59"	"0.69944873"	"PCDH17"	"protocadherin 17"
"A_23_P212307"	"1"	"0.260036"	"-1.2415728"	"-4.59"	"-0.61179822"	"KIF9"	"kinesin family member 9"
"A_24_P380330"	"1"	"0.260087"	"1.2414222"	"-4.59"	"0.6395411"	"PANK3"	"pantothenate kinase 3"
"A_24_P291231"	"1"	"0.260124"	"-1.2413146"	"-4.59"	"-0.62989277"	"PER3"	"period circadian clock 3"
"A_23_P200386"	"1"	"0.26014"	"-1.2412701"	"-4.59"	"-0.58519469"	"KHDRBS1"	"KH RNA binding domain containing, signal transduction associated 1"
"A_24_P238819"	"1"	"0.260144"	"1.2412568"	"-4.59"	"0.72569186"	""	""
"A_24_P815091"	"1"	"0.260154"	"1.2412287"	"-4.59"	"0.68876506"	""	""
"A_32_P10643"	"1"	"0.26018"	"-1.2411531"	"-4.59"	"-0.61748319"	""	""
"A_24_P345781"	"1"	"0.260189"	"-1.2411277"	"-4.59"	"-0.92048761"	"FXR1"	"FMR1 autosomal homolog 1"
"A_23_P68211"	"1"	"0.260191"	"1.2411211"	"-4.59"	"0.56429575"	"SPR"	"sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)"
"A_23_P14841"	"1"	"0.260229"	"-1.2410123"	"-4.59"	"-0.84203434"	"CSNK1G1"	"casein kinase 1 gamma 1"
"A_24_P886336"	"1"	"0.260284"	"1.2408527"	"-4.59"	"0.55692006"	""	""
"A_23_P218079"	"1"	"0.260461"	"-1.2403383"	"-4.59"	"-0.68226671"	"SLC38A2"	"solute carrier family 38 member 2"
"A_24_P349783"	"1"	"0.260479"	"-1.2402856"	"-4.59"	"-0.68903323"	""	""
"A_23_P362228"	"1"	"0.260496"	"1.2402375"	"-4.59"	"0.56316496"	"ZNF436-AS1"	"ZNF436 antisense RNA 1"
"A_23_P153390"	"1"	"0.2605"	"1.2402253"	"-4.59"	"0.72080968"	"CLEC4G"	"C-type lectin domain family 4 member G"
"A_23_P364625"	"1"	"0.260609"	"-1.2399099"	"-4.59"	"-0.61994925"	"LRRC19"	"leucine rich repeat containing 19"
"A_23_P255436"	"1"	"0.260619"	"1.2398783"	"-4.59"	"0.56524899"	"ARSA"	"arylsulfatase A"
"A_23_P334630"	"1"	"0.260652"	"1.239785"	"-4.59"	"0.83419046"	"JRK"	"Jrk helix-turn-helix protein"
"A_24_P273716"	"1"	"0.260653"	"1.2397805"	"-4.59"	"0.95764571"	"ZBTB24"	"zinc finger and BTB domain containing 24"
"A_24_P7510"	"1"	"0.260709"	"-1.2396179"	"-4.59"	"-0.61659358"	""	""
"A_24_P798028"	"1"	"0.260742"	"-1.239524"	"-4.59"	"-0.56063131"	"MUC12"	"mucin 12, cell surface associated"
"A_24_P353905"	"1"	"0.260771"	"-1.2394397"	"-4.59"	"-1.94845621"	"MXRA8"	"matrix remodeling associated 8"
"A_32_P481377"	"1"	"0.260777"	"1.2394206"	"-4.59"	"0.83234212"	"KRTAP11-1"	"keratin associated protein 11-1"
"A_24_P928176"	"1"	"0.260863"	"1.2391713"	"-4.59"	"1.32725337"	"LOC105378577"	"basic proline-rich protein-like"
"A_32_P121549"	"1"	"0.260869"	"1.2391544"	"-4.59"	"0.58254045"	"LOC105379362"	"uncharacterized LOC105379362"
"A_32_P67680"	"1"	"0.26088"	"1.2391226"	"-4.59"	"0.74634503"	""	""
"A_24_P363679"	"1"	"0.26094"	"-1.2389507"	"-4.59"	"-0.61066559"	"ATP6V1H"	"ATPase H+ transporting V1 subunit H"
"A_23_P213959"	"1"	"0.260959"	"1.238895"	"-4.59"	"0.61966799"	"PPARGC1B"	"PPARG coactivator 1 beta"
"A_24_P292831"	"1"	"0.260961"	"-1.2388876"	"-4.59"	"-0.67639595"	"C16orf70"	"chromosome 16 open reading frame 70"
"A_24_P923922"	"1"	"0.26098"	"-1.238835"	"-4.59"	"-0.68770238"	""	""
"A_23_P35871"	"1"	"0.261038"	"-1.2386654"	"-4.59"	"-0.80795512"	"E2F8"	"E2F transcription factor 8"
"A_32_P9146"	"1"	"0.261055"	"1.2386161"	"-4.59"	"0.78220261"	""	""
"A_23_P20713"	"1"	"0.261081"	"1.2385411"	"-4.59"	"1.03487226"	"C8G"	"complement component 8, gamma polypeptide"
"A_23_P8240"	"1"	"0.261092"	"-1.2385095"	"-4.59"	"-0.60004742"	"FAM50B"	"family with sequence similarity 50 member B"
"A_32_P25204"	"1"	"0.261094"	"-1.2385033"	"-4.59"	"-0.79289615"	"PRKDC"	"protein kinase, DNA-activated, catalytic polypeptide"
"A_23_P131899"	"1"	"0.261117"	"1.2384366"	"-4.59"	"0.6471754"	"SDCBP2"	"syndecan binding protein 2"
"A_23_P17130"	"1"	"0.261157"	"1.2383206"	"-4.59"	"1.30511245"	"C2orf88"	"chromosome 2 open reading frame 88"
"A_32_P119830"	"1"	"0.261166"	"1.2382949"	"-4.59"	"0.64625587"	"PEG3-AS1"	"PEG3 antisense RNA 1"
"A_24_P302406"	"1"	"0.261247"	"-1.2380597"	"-4.59"	"-0.6165432"	"CAMTA1"	"calmodulin binding transcription activator 1"
"A_32_P84846"	"1"	"0.261258"	"1.238029"	"-4.59"	"0.58122016"	"ZNF780B"	"zinc finger protein 780B"
"A_23_P63929"	"1"	"0.261332"	"-1.2378157"	"-4.59"	"-0.6071906"	"WDR11"	"WD repeat domain 11"
"A_23_P417415"	"1"	"0.261336"	"-1.2378018"	"-4.59"	"-0.77967891"	"ACOT11"	"acyl-CoA thioesterase 11"
"A_24_P362737"	"1"	"0.261338"	"-1.2377968"	"-4.59"	"-0.59156229"	"FOXP1"	"forkhead box P1"
"A_24_P24060"	"1"	"0.261383"	"1.2376678"	"-4.59"	"0.62177294"	"RHOXF2"	"Rhox homeobox family member 2"
"A_24_P934434"	"1"	"0.26139"	"1.2376481"	"-4.59"	"1.29812451"	""	""
"A_23_P39746"	"1"	"0.261403"	"-1.2376108"	"-4.59"	"-0.65637094"	""	""
"A_32_P399546"	"1"	"0.261452"	"-1.2374691"	"-4.59"	"-0.66139079"	"ARNTL2"	"aryl hydrocarbon receptor nuclear translocator like 2"
"A_32_P153469"	"1"	"0.261472"	"-1.2374091"	"-4.59"	"-0.65258802"	"AP3S1"	"adaptor related protein complex 3 sigma 1 subunit"
"A_23_P130194"	"1"	"0.261514"	"1.2372881"	"-4.59"	"0.5716516"	"PYCR1"	"pyrroline-5-carboxylate reductase 1"
"A_23_P14821"	"1"	"0.261521"	"1.2372684"	"-4.59"	"1.45819447"	"GABRB3"	"gamma-aminobutyric acid type A receptor beta3 subunit"
"A_24_P827"	"1"	"0.261533"	"1.2372334"	"-4.59"	"0.64914129"	"SUPT3H"	"SPT3 homolog, SAGA and STAGA complex component"
"A_32_P81806"	"1"	"0.261612"	"-1.237004"	"-4.59"	"-0.73415686"	"ZNF738"	"zinc finger protein 738"
"A_24_P25498"	"1"	"0.261617"	"-1.2369906"	"-4.59"	"-1.89430917"	"LOC101928185"	"uncharacterized LOC101928185"
"A_32_P226810"	"1"	"0.261645"	"1.2369104"	"-4.59"	"1.36896029"	""	""
"A_23_P151662"	"1"	"0.261645"	"1.2369087"	"-4.59"	"0.55958438"	"MAX"	"MYC associated factor X"
"A_32_P47988"	"1"	"0.26167"	"1.2368368"	"-4.59"	"0.59138865"	"CAMK2D"	"calcium/calmodulin dependent protein kinase II delta"
"A_24_P175909"	"1"	"0.261703"	"1.2367434"	"-4.59"	"0.56784103"	"MARS"	"methionyl-tRNA synthetase"
"A_24_P332857"	"1"	"0.261718"	"-1.2367004"	"-4.59"	"-2.04818704"	"CT47A11"	"cancer/testis antigen family 47, member A11"
"A_23_P102694"	"1"	"0.261735"	"-1.2366506"	"-4.59"	"-1.03692434"	"DEFB129"	"defensin beta 129"
"A_32_P401723"	"1"	"0.261752"	"1.2365998"	"-4.59"	"0.60200464"	"ZNF17"	"zinc finger protein 17"
"A_23_P39315"	"1"	"0.261791"	"1.2364883"	"-4.59"	"1.24014953"	"CYP4F11"	"cytochrome P450 family 4 subfamily F member 11"
"A_24_P923028"	"1"	"0.261814"	"1.2364226"	"-4.59"	"1.37322405"	"TAT"	"tyrosine aminotransferase"
"A_24_P727884"	"1"	"0.261842"	"-1.2363415"	"-4.59"	"-0.5831973"	"KIAA1549L"	"KIAA1549 like"
"A_24_P662366"	"1"	"0.26193"	"-1.2360857"	"-4.59"	"-0.7068634"	""	""
"A_32_P346000"	"1"	"0.261977"	"-1.2359521"	"-4.59"	"-0.56906887"	"LOC100507351"	"uncharacterized LOC100507351"
"A_23_P75147"	"1"	"0.261995"	"1.2359004"	"-4.59"	"1.26849433"	"SPAG6"	"sperm associated antigen 6"
"A_23_P64712"	"1"	"0.261995"	"-1.2359001"	"-4.59"	"-0.65792107"	"TCTN2"	"tectonic family member 2"
"A_23_P254472"	"1"	"0.262"	"-1.2358847"	"-4.59"	"-0.6035495"	"ARMT1"	"acidic residue methyltransferase 1"
"A_23_P72680"	"1"	"0.262213"	"-1.2352701"	"-4.59"	"-0.68195605"	"IFT81"	"intraflagellar transport 81"
"A_24_P114739"	"1"	"0.262221"	"1.2352473"	"-4.59"	"0.57088419"	"CAMK2D"	"calcium/calmodulin dependent protein kinase II delta"
"A_24_P212559"	"1"	"0.262334"	"1.2349209"	"-4.59"	"0.83416043"	"KMT2D"	"lysine methyltransferase 2D"
"A_23_P42868"	"1"	"0.262347"	"1.2348846"	"-4.59"	"1.3257539"	"IGFBP1"	"insulin like growth factor binding protein 1"
"A_32_P21255"	"1"	"0.262357"	"1.234854"	"-4.59"	"0.8074558"	"SLC30A4"	"solute carrier family 30 member 4"
"A_23_P209430"	"1"	"0.262362"	"-1.2348397"	"-4.59"	"-0.66446332"	"ALS2"	"ALS2, alsin Rho guanine nucleotide exchange factor"
"A_24_P610387"	"1"	"0.26243"	"-1.2346448"	"-4.59"	"-0.7730462"	""	""
"A_23_P304279"	"1"	"0.262443"	"-1.2346062"	"-4.59"	"-0.8231235"	"CHRNE"	"cholinergic receptor nicotinic epsilon subunit"
"A_24_P339059"	"1"	"0.262474"	"1.2345178"	"-4.59"	"0.94109569"	"CRISPLD2"	"cysteine rich secretory protein LCCL domain containing 2"
"A_24_P77941"	"1"	"0.262478"	"1.2345066"	"-4.59"	"0.60006867"	"VPS50"	"VPS50, EARP/GARPII complex subunit"
"A_24_P260122"	"1"	"0.262528"	"1.2343607"	"-4.59"	"0.96685264"	"PHLDB2"	"pleckstrin homology like domain family B member 2"
"A_23_P106371"	"1"	"0.262535"	"1.2343433"	"-4.59"	"0.90254092"	"GOLGA6A"	"golgin A6 family member A"
"A_23_P352619"	"1"	"0.262548"	"-1.2343055"	"-4.59"	"-0.73440725"	"TIFA"	"TRAF interacting protein with forkhead associated domain"
"A_24_P415195"	"1"	"0.262619"	"1.2341011"	"-4.59"	"0.62577465"	"NTRK2"	"neurotrophic receptor tyrosine kinase 2"
"A_23_P107724"	"1"	"0.262637"	"-1.2340467"	"-4.59"	"-0.7326862"	"ZNF112"	"zinc finger protein 112"
"A_32_P102718"	"1"	"0.26264"	"1.2340397"	"-4.59"	"0.67705619"	""	""
"A_24_P340066"	"1"	"0.26266"	"1.2339814"	"-4.59"	"0.58017446"	"ELF4"	"E74 like ETS transcription factor 4"
"A_24_P402438"	"1"	"0.262689"	"1.2338995"	"-4.59"	"0.66744893"	"TGFB2"	"transforming growth factor beta 2"
"A_32_P61298"	"1"	"0.262736"	"-1.2337636"	"-4.59"	"-0.9170168"	""	""
"A_32_P35969"	"1"	"0.262798"	"1.233584"	"-4.59"	"0.64547775"	"CHRNA7"	"cholinergic receptor nicotinic alpha 7 subunit"
"A_32_P389544"	"1"	"0.262811"	"-1.233547"	"-4.59"	"-1.30332752"	"ASXL3"	"additional sex combs like 3, transcriptional regulator"
"A_24_P418250"	"1"	"0.262821"	"1.2335169"	"-4.59"	"0.7965357"	"SMIM10L2A"	"small integral membrane protein 10 like 2A"
"A_32_P155984"	"1"	"0.262837"	"-1.2334735"	"-4.59"	"-0.7755078"	""	""
"A_23_P23421"	"1"	"0.262855"	"1.2334196"	"-4.59"	"0.6222244"	"ARHGEF11"	"Rho guanine nucleotide exchange factor 11"
"A_24_P324640"	"1"	"0.262913"	"1.2332538"	"-4.59"	"0.5638843"	"ZNF544"	"zinc finger protein 544"
"A_24_P937281"	"1"	"0.262923"	"-1.2332241"	"-4.59"	"-0.73177722"	""	""
"A_23_P94748"	"1"	"0.262942"	"-1.2331705"	"-4.59"	"-1.38392951"	"OBP2B"	"odorant binding protein 2B"
"A_23_P348979"	"1"	"0.26299"	"-1.2330312"	"-4.59"	"-0.63473351"	"FAM27E3"	"family with sequence similarity 27 member E3"
"A_23_P258612"	"1"	"0.26306"	"1.2328309"	"-4.59"	"1.15413003"	"ATP8A2"	"ATPase phospholipid transporting 8A2"
"A_23_P40761"	"1"	"0.263088"	"1.2327504"	"-4.59"	"0.70681194"	"SLC51A"	"solute carrier family 51 alpha subunit"
"A_23_P427502"	"1"	"0.263141"	"-1.232598"	"-4.59"	"-0.83817865"	"ZNRF3"	"zinc and ring finger 3"
"A_32_P168701"	"1"	"0.263326"	"-1.232066"	"-4.59"	"-0.71372862"	""	""
"A_32_P780817"	"1"	"0.263335"	"1.2320408"	"-4.59"	"1.21316277"	"CT45A1"	"cancer/testis antigen family 45, member A1"
"A_23_P81760"	"1"	"0.263338"	"1.2320323"	"-4.59"	"1.33695073"	"QKI"	"QKI, KH domain containing RNA binding"
"A_24_P392910"	"1"	"0.263364"	"1.231956"	"-4.59"	"0.67157781"	""	""
"A_23_P205046"	"1"	"0.263373"	"-1.2319301"	"-4.59"	"-0.56135658"	"ANKRD10"	"ankyrin repeat domain 10"
"A_23_P162476"	"1"	"0.263434"	"-1.2317545"	"-4.59"	"-0.77463295"	"CDCA3"	"cell division cycle associated 3"
"A_24_P923056"	"1"	"0.263435"	"1.2317519"	"-4.59"	"0.61844773"	""	""
"A_23_P159284"	"1"	"0.263474"	"1.2316413"	"-4.59"	"1.3077686"	"SLC25A30"	"solute carrier family 25 member 30"
"A_23_P142537"	"1"	"0.263481"	"1.2316214"	"-4.59"	"0.60877956"	"MBD5"	"methyl-CpG binding domain protein 5"
"A_24_P911788"	"1"	"0.263513"	"1.2315276"	"-4.59"	"0.58438845"	"HLA-DOB"	"major histocompatibility complex, class II, DO beta"
"A_24_P865226"	"1"	"0.263631"	"1.2311909"	"-4.59"	"0.62615769"	"CDIPT-AS1"	"CDIPT antisense RNA 1 (head to head)"
"A_23_P48339"	"1"	"0.263645"	"-1.2311495"	"-4.59"	"-0.68087378"	"IFT88"	"intraflagellar transport 88"
"A_23_P73848"	"1"	"0.263656"	"-1.2311172"	"-4.59"	"-0.60187317"	""	""
"A_23_P105088"	"1"	"0.263662"	"1.231102"	"-4.59"	"0.76100379"	"ASCL2"	"achaete-scute family bHLH transcription factor 2"
"A_23_P206103"	"1"	"0.263696"	"1.2310035"	"-4.59"	"0.60090103"	"ULK3"	"unc-51 like kinase 3"
"A_23_P303072"	"1"	"0.2637"	"-1.2309922"	"-4.59"	"-1.15411925"	"GRIA1"	"glutamate ionotropic receptor AMPA type subunit 1"
"A_23_P93236"	"1"	"0.26381"	"1.2306766"	"-4.59"	"0.64060192"	"TRIM38"	"tripartite motif containing 38"
"A_23_P10966"	"1"	"0.263904"	"-1.2304076"	"-4.59"	"-0.73568067"	"GABRB3"	"gamma-aminobutyric acid type A receptor beta3 subunit"
"A_23_P123853"	"1"	"0.263926"	"1.2303423"	"-4.59"	"0.73965733"	"CCL19"	"C-C motif chemokine ligand 19"
"A_24_P520767"	"1"	"0.263933"	"-1.2303223"	"-4.59"	"-1.8846637"	""	""
"A_24_P255645"	"1"	"0.263937"	"-1.230312"	"-4.59"	"-0.79045241"	"IFT80"	"intraflagellar transport 80"
"A_24_P525663"	"1"	"0.263949"	"-1.230279"	"-4.59"	"-0.71984622"	""	""
"A_24_P4171"	"1"	"0.263988"	"1.2301665"	"-4.59"	"0.63659418"	"FGFR1"	"fibroblast growth factor receptor 1"
"A_24_P166443"	"1"	"0.263997"	"1.230141"	"-4.59"	"1.26290175"	"HLA-DPB1"	"major histocompatibility complex, class II, DP beta 1"
"A_24_P458252"	"1"	"0.264019"	"1.2300779"	"-4.59"	"1.19869906"	""	""
"A_24_P913115"	"1"	"0.26405"	"-1.2299876"	"-4.59"	"-0.65182203"	"PTEN"	"phosphatase and tensin homolog"
"A_24_P59607"	"1"	"0.26407"	"1.2299304"	"-4.59"	"0.76261762"	"C17orf51"	"chromosome 17 open reading frame 51"
"A_24_P295877"	"1"	"0.264081"	"1.2299004"	"-4.59"	"0.81066389"	"CEP104"	"centrosomal protein 104"
"A_23_P350678"	"1"	"0.264088"	"1.2298787"	"-4.59"	"0.55467059"	"CFAP43"	"cilia and flagella associated protein 43"
"A_24_P519672"	"1"	"0.26409"	"1.2298722"	"-4.59"	"1.07730001"	"MGC2889"	"uncharacterized protein MGC2889"
"A_24_P585747"	"1"	"0.264148"	"1.2297079"	"-4.59"	"0.56384632"	"STAMBP"	"STAM binding protein"
"A_32_P183983"	"1"	"0.264161"	"-1.2296692"	"-4.59"	"-0.64460802"	"PTPN4"	"protein tyrosine phosphatase, non-receptor type 4"
"A_23_P255376"	"1"	"0.264249"	"1.2294185"	"-4.59"	"0.77732366"	"MCUB"	"mitochondrial calcium uniporter dominant negative beta subunit"
"A_23_P21346"	"1"	"0.264318"	"1.2292187"	"-4.59"	"0.64502194"	"PCGF3"	"polycomb group ring finger 3"
"A_23_P212812"	"1"	"0.26434"	"1.2291578"	"-4.59"	"0.72769906"	"CPLX1"	"complexin 1"
"A_24_P56270"	"1"	"0.264369"	"-1.2290749"	"-4.59"	"-0.57136442"	"DYRK2"	"dual specificity tyrosine phosphorylation regulated kinase 2"
"A_24_P7040"	"1"	"0.264431"	"-1.2288957"	"-4.59"	"-0.616267"	""	""
"A_32_P195647"	"1"	"0.264487"	"1.2287373"	"-4.59"	"1.35620235"	"KLHL15"	"kelch like family member 15"
"A_24_P251734"	"1"	"0.264489"	"1.2287299"	"-4.59"	"0.58133307"	"FSTL5"	"follistatin like 5"
"A_23_P138635"	"1"	"0.264498"	"-1.2287048"	"-4.59"	"-0.72935479"	"BNIP3"	"BCL2 interacting protein 3"
"A_24_P102406"	"1"	"0.264515"	"1.2286548"	"-4.59"	"0.74068396"	""	""
"A_23_P259251"	"1"	"0.264532"	"1.2286068"	"-4.59"	"0.6368867"	"KCND2"	"potassium voltage-gated channel subfamily D member 2"
"A_23_P96035"	"1"	"0.26454"	"-1.2285846"	"-4.59"	"-0.56936328"	""	""
"A_24_P273900"	"1"	"0.264548"	"1.2285618"	"-4.59"	"0.70087492"	"BMP1"	"bone morphogenetic protein 1"
"A_32_P212520"	"1"	"0.264563"	"-1.2285178"	"-4.59"	"-0.70520521"	"HOOK3"	"hook microtubule tethering protein 3"
"A_24_P273875"	"1"	"0.264566"	"1.2285096"	"-4.59"	"0.71103056"	"PRDX3"	"peroxiredoxin 3"
"A_24_P652510"	"1"	"0.264599"	"-1.2284145"	"-4.59"	"-0.66744278"	"GAREM1"	"GRB2 associated regulator of MAPK1 subtype 1"
"A_23_P255016"	"1"	"0.264617"	"1.2283652"	"-4.59"	"0.57531303"	"UGGT1"	"UDP-glucose glycoprotein glucosyltransferase 1"
"A_23_P100392"	"1"	"0.264641"	"-1.2282965"	"-4.59"	"-0.56232117"	"TCEB2"	"transcription elongation factor B subunit 2"
"A_23_P367816"	"1"	"0.264654"	"-1.2282596"	"-4.59"	"-0.68179132"	"SNX29"	"sorting nexin 29"
"A_24_P636451"	"1"	"0.264661"	"1.2282373"	"-4.59"	"0.59185081"	""	""
"A_24_P307314"	"1"	"0.26468"	"-1.2281849"	"-4.59"	"-0.56142585"	"MTHFD2L"	"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like"
"A_24_P279938"	"1"	"0.26471"	"1.2280987"	"-4.59"	"0.58775061"	"PAXBP1"	"PAX3 and PAX7 binding protein 1"
"A_24_P105298"	"1"	"0.264724"	"-1.2280575"	"-4.59"	"-0.57854228"	"H3F3A"	"H3 histone, family 3A"
"A_24_P162532"	"1"	"0.264727"	"1.2280481"	"-4.59"	"0.62551432"	"PPM1K"	"protein phosphatase, Mg2+/Mn2+ dependent 1K"
"A_24_P460195"	"1"	"0.264739"	"1.228016"	"-4.59"	"0.81767298"	""	""
"A_24_P341089"	"1"	"0.26474"	"-1.2280115"	"-4.59"	"-0.57044971"	"ANKRD36BP2"	"ankyrin repeat domain 36B pseudogene 2"
"A_24_P348660"	"1"	"0.264825"	"-1.2277703"	"-4.59"	"-0.56372827"	"ATRX"	"ATRX, chromatin remodeler"
"A_24_P389994"	"1"	"0.264852"	"1.2276907"	"-4.59"	"0.57090533"	"NADK"	"NAD kinase"
"A_23_P132417"	"1"	"0.264892"	"-1.2275768"	"-4.59"	"-0.66857725"	"LSG1"	"large 60S subunit nuclear export GTPase 1"
